filename,width,height,channels,original_bytes,custom_bytes,custom_ratio,custom_time,png_bytes,png_ratio,png_time,relative_performance,verified
static/bmp_24.bmp,200,200,3,120054,1228,0.010229,0.01984,2222,0.018508,0.016863,0.552655,yes
static/blackbuck.bmp,512,512,3,786486,201098,0.255692,0.841853,254605,0.323725,0.183865,0.789843,yes
static/Mars.bmp,1280,1024,3,3932214,1922462,0.488901,9.106016,1919780,0.488219,0.491269,1.001397,yes
static/Rainier.bmp,1920,1080,3,6220854,3446439,0.554014,3.604615,3227943,0.518891,0.530926,1.067689,yes
static/Sunrise.bmp,6000,2908,3,52344054,33632501,0.642528,43.970085,28164245,0.53806,5.281123,1.194156,yes
static/Malamute.bmp,1616,1080,3,5235894,3804308,0.726582,4.659882,3892123,0.743354,0.607757,0.977438,yes
static/Mercury.bmp,732,520,3,1141974,498862,0.436842,0.599469,330556,0.28946,0.068654,1.50916,yes
static/sample3.bmp,2400,1600,3,11523282,6151516,0.533834,7.42631,5391516,0.46788,1.026269,1.140962,yes
static/Jupiter.bmp,1390,1079,3,4501642,990761,0.220089,1.815641,1177902,0.261661,0.37848,0.841123,yes
static/ZeldaColor.bmp,787,576,3,1361718,903763,0.663693,1.256778,1100576,0.808226,0.162993,0.821173,yes
static/lena.bmp,512,512,3,263222,582237,2.211962,0.752004,378342,1.437349,0.065879,1.538917,yes
static/BoatsColor.bmp,787,576,3,1361718,910827,0.668881,1.258436,1088951,0.799689,0.168759,0.836426,yes
static/Small Sample BMP Image File Download.bmp,500,500,4,1000138,284402,0.284363,0.511141,274860,0.274822,0.082528,1.034716,yes
static/Earth.bmp,749,768,3,1726518,977453,0.566141,1.225456,933797,0.540856,0.145202,1.046751,yes
static/dots.bmp,467,467,3,219634,48244,0.219656,0.084307,26023,0.118483,0.030654,1.853898,yes
static/Neptune.bmp,1024,1023,3,3142710,901624,0.286894,1.782094,943609,0.300253,0.276155,0.955506,yes
static/Saturn.bmp,1500,1200,3,5400054,894255,0.165601,1.490535,813745,0.150692,0.350502,1.098938,yes
static/venice.bmp,1467,2200,3,9692082,4772036,0.492364,6.393552,4743509,0.489421,0.950648,1.006014,yes
static/snail.bmp,256,256,3,196666,40583,0.206355,0.043601,41686,0.211963,0.013812,0.97354,yes
static/baboon.bmp,500,480,3,720054,718530,0.997883,0.723917,631703,0.877299,0.077429,1.137449,yes
static/greenland_grid_velo.bmp,762,1309,3,2995046,787676,0.262993,1.145606,959807,0.320465,0.23185,0.820661,yes
static/Sun.bmp,2100,2034,3,12814254,6058833,0.47282,9.866017,7352807,0.573799,1.553386,0.824016,yes
static/Uranus.bmp,1920,1080,3,6220854,425012,0.068321,0.822215,574543,0.092358,0.361863,0.739739,yes
static/goldhill.bmp,720,576,3,1244214,978667,0.786574,1.207469,1115879,0.896855,0.143026,0.877037,yes
static/pepper.bmp,512,512,3,786486,666137,0.846979,0.833132,761873,0.968705,0.089186,0.874341,yes
static/Maltese.bmp,2238,2446,3,16427390,9163420,0.557814,14.461413,7382125,0.449379,1.744436,1.241298,yes
static/airplane.bmp,512,512,3,786486,542988,0.690398,0.742534,637692,0.810812,0.097563,0.851489,yes
static/Sample BMP Image File Download.bmp,2560,1920,3,14745738,3485627,0.236382,5.917013,2440410,0.165499,1.040172,1.428296,yes
,,,,,,0.51981375,,,0.497738,,,
